id,title,book_url,pic_url,author,press,original,translator,publish_date,pages,price,binding,ISBN,score,rating_count,summary,autor_intro,author_id,tags,comment1,comment2,comment3,comment4,comment5,rec_id1,rec_id2,rec_id3,rec_id4,rec_id5,rec_id6,rec_id7,rec_id8,rec_id9,rec_id10
25862578,解忧杂货店,https://book.douban.com/subject/25862578/,https://img3.doubanio.com/view/subject/l/public/s27264181.jpg,[日]东野圭吾,南海出版公司,,李盈春,2014-5,291,39.50元,精装,9787544270878,8.5,424676,现代人内心流失的东西，这家杂货店能帮你找回—— 僻静的街道旁有一家杂货店，只要写下烦恼投进卷帘门的投信口，第二天就会在店后的牛奶箱里得到回答。 因男友身患绝症，年轻女孩静子在爱情与梦想间徘徊；克郎为了音乐梦想离家漂泊，却在现实中寸步难行；少年浩介面临家庭巨变，挣扎在亲情与未来的迷茫中…… 他们将困惑写成信投进杂货店，随即奇妙的事情竟不断发生。 生命中的一次偶然交会，将如何演绎出截然不同的人生？ 如今回顾写作过程，我发现自己始终在思考一个问题：站在人生的岔路口，人究竟应该怎么做？我希望读者能在掩卷时喃喃自语：我从未读过这样的小说。——东野圭吾,东野圭吾 日本著名作家。 1985年，《放学后》获第31届江户川乱步奖，开始专职写作； 1999年，《秘密》获第52届日本推理作家协会奖； 2005年出版的《嫌疑人X的献身》史无前例地同时获得第134届直木奖、第6届本格推理小说大奖，以及年度三大推理小说排行榜第1名； 2008年，《流星之绊》获第43届新风奖； 2009年出版的《新参者》获两大推理小说排行榜年度第1名； 2012年，《解忧杂货店》获第7届中央公论文艺奖。 2014年，《祈りの幕が下りる時》（暂译《祈祷落幕时》）获第48届吉川英治文学奖。,https://book.douban.com/author/4537266/,东野圭吾 治愈 温暖 小说 日本 日本文学 東野圭吾 推理,技巧近乎完美，但内容其实……老套路啊。真是厉害的作家，可惜只能是个匠人——没有原创灵魂，写别人故事的匠人,非常好看啊，他的书从来没让我失望过。腰封上有个人的评价我觉得很贴切“人们总是在不经意间与他人的人生紧密相连”。可以向陌生人咨询烦恼真好，有时候不为解惑只为说出来。,其实所有的答案都在自己的心里。,最喜欢最后一个关于白纸的回复，能够给出这样的回答爷爷真是太棒了！关于浪矢杂货店和丸之光孤儿院的羁绊，我想大概是多年前那对未能私奔成功的男女在冥冥之中对彼此的眷恋吧，就让我们在天上照顾彼此挂念的孩子们，这样想会不会觉得很温暖呢？推理界的言情小说家写出了这样推理气息单薄的故事，居然还不难看，真是略意外啊。,《解憂雜貨店》解的是別人的憂，卻在無形中填補了我們內心的破洞，並用最巧妙的方式告訴你：微小卻長存的善意，才是解憂的不二之法。,3211779,3259440,10554308,1084336,3646172,2567698,1023045,6082808,3066477,1008145
1770782,追风筝的人,https://book.douban.com/subject/1770782/,https://img3.doubanio.com/view/subject/l/public/s1727290.jpg,[美]卡勒德·胡赛尼,上海人民出版社,,,2006-5,362,29.00元,平装,9787208061644,8.9,437506,12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟随父亲逃往美国。 成年后的阿米尔始终无法原谅自己当年对哈桑的背叛。为了赎罪，阿米尔再度踏上暌违二十多年的故乡，希望能为不幸的好友尽最后一点心力，却发现一个惊天谎言，儿时的噩梦再度重演，阿米尔该如何抉择？ 故事如此残忍而又美丽，作者以温暖细腻的笔法勾勒人性的本质与救赎，读来令人荡气回肠。,"卡勒德·胡赛尼（Khaled Hosseini），1965年生于阿富汗喀布尔市，后随父亲迁往美国。胡赛尼毕业于加州大学圣地亚哥医学系，现居加州。“立志拂去蒙在阿富汗普通民众面孔的尘灰，将背后灵魂的悸动展示给世人。”著有小说《追风筝的人》(The Kite Runner，2003）、《灿烂千阳》(A Thousand Splendid Suns，2007)、《群山回唱》（And the Mountains Echoed,2013）。作品全球销量超过4000万册。2006年，因其作品巨大的国际影响力，胡赛尼获得联合国人道主义奖，并受邀担任联合国难民署亲善大使。",https://book.douban.com/author/997810/,追风筝的人 人性 救赎 阿富汗 小说 外国文学 卡勒德·胡赛尼 成长,前半部比后半部好,过誉,非常好的一本通俗小说．适合拍电影的好脚本．里面有很多可贵的东西．但情节上也有些地方不可理喻．前半部非常的棒．但后面落入俗套子－－但还是感动了我．这是作者的处女作，已经非常的了不起了．,"追到的只有自己的过去
救赎的只有自己的现在",改变了我因为19：00对阿富汗20多年的曲解,25862578,1084336,3259440,3211779,1008145,6082808,1082154,1200840,1023045,1046265
2567698,三体,https://book.douban.com/subject/2567698/,https://img1.doubanio.com/view/subject/l/public/s2768378.jpg,刘慈欣,重庆出版社,,,2008-1,302,23.00,平装,9787536692930,8.8,259494,文化大革命如火如荼进行的同时。军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到，她彻底改变了人类的命运。地球文明向宇宙发出的第一声啼鸣，以太阳为中心，以光速向宇宙深处飞驰…… 四光年外，“三体文明”正苦苦挣扎——三颗无规则运行的太阳主导下的百余次毁灭与重生逼迫他们逃离母星。而恰在此时。他们接收到了地球发来的信息。在运用超技术锁死地球人的基础科学之后。三体人庞大的宇宙舰队开始向地球进发…… 人类的末日悄然来临。,刘慈欣，祖籍河南，长于山西，中国科普作家协会会员，山西省作家协会会员，高级工程师。 自1999年处女作《鲸歌》问世以来，刘慈欣已发表短篇科幻小说三十余篇、出版长篇科幻小说六部，并创下连续八年荣获中国科幻最高奖“银河奖”的纪录。他的长篇作品《三体》开创《科幻世界》月刊连载原创作品的先例，成为2006年度最受关注、最畅销的科幻小说。,https://book.douban.com/author/4561353/,科幻 刘慈欣 三体 科幻小说 中国科幻 硬科幻 中国 小说,不爱跟风所以拖到现在才读过传说中的三体，作为小说它的技巧叙述手法和人物塑造简直惨不忍睹（多年前第一次读刘慈欣到现在他的文学修养怎么一点长进都没有），但是故事的内核很饱满丰富，干货多，粗糙但不乏深刻，坚强一点的话可以无视文笔技巧挺过去读完。3.5星吧。,毕竟还在用“就像小鸟眷恋着天空”这样的比喻，算了，都是文科生的矫情。,星空如此浩瀚，人们却只能为蜗居浪费一生。活该被鄙视：你们是虫子。,论文笔的重要性。。。如何讲砸一个好故事。。。,有点屌，也有点“作者语文是物理老师教的”的感觉,3066477,5363767,1192090,3259440,3211779,25862578,3266609,1084336,1008145,6082808
3259440,白夜行,https://book.douban.com/subject/3259440/,https://img3.doubanio.com/view/subject/l/public/s4610502.jpg,[日]东野圭吾,南海出版公司,,刘姿君,2008-9,467,29.80元,平装,9787544242516,9.1,313964,“只希望能手牵手在太阳下散步”，这个象征故事内核的绝望念想，有如一个美丽的幌子，随着无数凌乱、压抑、悲凉的故事片段像纪录片一样一一还原：没有痴痴相思，没有海枯石烂，只剩下一个冰冷绝望的诡计，最后一丝温情也被完全抛弃，万千读者在一曲救赎罪恶的凄苦爱情中悲切动容……,东野圭吾，日本著名作家。1958年生于大阪。1985年，以第31届江户川乱步奖获奖作品《放学后》出道，开始扬名立万。20年作品逾60部，几乎囊括日本所有大奖：1999年，《秘密》获第52届日本推理作家协会奖，入围第120届直木奖；2000年，《白夜行》入围第122届直木奖；2001年，《暗恋》入围第125届直木奖；2004年，《幻夜》入围第131届直木奖；2006年的《嫌疑人X的献身》，获得第134届直木奖、第6届本格推理小说大奖。 《白夜行》出版之后引起巨大轰动，使东野圭吾成为天王级作家。小说被改编成同名电视连续剧，与图书一同为作家带来了如潮好评，使他成为日本、韩国与台湾等地最受欢迎的作家之一。,https://book.douban.com/author/4537266/,东野圭吾 東野圭吾 推理 日本 悬疑 推理小说 日本文学 小说,有你们说的那么好吗？推荐过度了,深深被雪穗的戾气给震撼了，她是一个恶到了底的人，即使童年受过伤害，但这也不能成为伤害别人的理由。婊砸初级阶段是《机械姬》，为了生存作恶；中级阶段是《gone girl》，为了复仇作恶；而终极阶段就是《白夜行》了，为了自己不惜一切代价滴作恶，雪穗这种人就是潘多拉，只会给所有人带来不幸。,一声叹息。人生之棋，一步走错，满盘阴影。,看白夜行，就感觉在一边层层剥开洋葱，接近本质，一边被其辣得睁不开眼。最后才发现，这个洋葱没有心，或者说，比没有心更可怕！整个人不寒而栗！,昨晚两点开始看《白夜行》一直看到天亮看完。展现出东野圭吾对复杂叙事的掌控能力，精彩绝伦。但是我最欣赏的还是他对恶的动机，那种孜孜不倦的探求，一直向灵魂黑洞最深处走去。他书写的恶往往不是凡俗的恶，而是一种提纯的，高智商的，有分寸的，肃穆的恶。那种恶最终会让人动容，和纯粹的善一样。,3211779,3646172,25862578,1084336,2567698,1008145,1046265,3066477,4074636,1082154
3211779,嫌疑人X的献身,https://book.douban.com/subject/3211779/,https://img3.doubanio.com/view/subject/l/public/s3254244.jpg,[日]东野圭吾,南海出版公司,,刘子倩,2008-9,251,28.00,精装,9787544241694,8.9,257277,百年一遇的数学天才石神，每天唯一的乐趣，便是去固定的便当店买午餐，只为看一眼在便当店做事的邻居靖子。 靖子与女儿相依为命，失手杀了前来纠缠的前夫。石神提出由他料理善后。石神设了一个匪夷所思的局，令警方始终只能在外围敲敲打打，根本无法与案子沾边。石神究竟使用了什么手法？,东野圭吾，日本著名作家。1958年生于大阪。1985年，以第31届江户川乱步奖获奖作品《放学后》出道，开始扬名立万。20年作品逾60部，几乎囊括了日本所有大奖，1998年，《秘密》获第52届日本推理作家协会奖，入围第120届直木奖；1999年，《白夜行》入围第122届直木奖；2001年，《暗恋》入围第125届直木奖；2003年，《信》入围第129届直木奖。2006年，《嫌疑人X的献身》终于捧得日本文学最高荣誉直木奖。 前期作品多写得精巧细致，随着写作功底浸润日深，尤其是《白夜行》之后，笔锋日渐老辣：文字鲜加雕琢，叙述简练凶狠，情节跌宕诡异，故事架构几至匪夷所思的地步。至巅峰之作《嫌疑人X的献身》，叙事与推理，均已炉火纯青：最好的诡计、无懈可击的推理、恰当的伏笔，以及最普通但最不易猜透的悬念，受到大奖评委的莫大青睐，同时获得直木奖和本格推理小说大奖，更...(展开全部),https://book.douban.com/author/4537266/,东野圭吾 推理 日本 推理小说 悬疑 東野圭吾 小说 日本文学,被震爆了。西方作家打死也写不出来的一类小说。还不是纯东方的，而是纯日本的。石神的情感模式和日本武士道剖腹、神风敢死队自杀式攻击的献祭式情感模式是完全一样的。瞬间的喜悦。瞬间的悟道。极致的浪漫。,每次看到微博上黑数学的言论，很想跳出来说数学的优雅和实用是学不好数学的人体会不到的，数学是我认为唯一受益终身的学科，数学不好会影响写稿。。这本书给我强烈的知音感，必须强调这种感觉不是主人公数学天才给予的，而是东野的叙事方式。案件的谜底并不十分惊人，书名其实已经揭晓谜底，整个案件是一个清晰简明的定理，优美的是证明这个定理的步骤。更令人感激的是，东野把情感设置为这个定理中唯一的漏洞，数学天网恢恢，控制...,有时候，一个人只要好好活着，就足以拯救另一个人。,爱情的残酷在于，即便如此，依然不会得到爱。,难以理解的深情，其实只能自我感动。,3259440,3646172,25862578,1084336,4074636,10554308,2567698,3006581,1827374,3066477
27614904,房思琪的初恋乐园,https://book.douban.com/subject/27614904/,https://img3.doubanio.com/view/subject/l/public/s29651121.jpg,林奕含,北京联合出版公司,,,2018-1,272,45.00元,平装,9787559614636,9.2,73853,令人心碎却无能为力的真实故事。 向死而生的文学绝唱  打动万千读者的年度华语小说。 李银河 戴锦华 骆以军 张悦然 冯唐 詹宏志 蒋方舟 史航 等多位学者作家社会名人郑重推荐。 痛苦的际遇是如此难以分享，好险这个世界还有文学。 我下楼拿作文给李老师改。他掏出来，我被逼到涂在墙上。老师说了九个字：“不行的话，嘴巴可以吧。”我说了五个字：“不行，我不会。”他就塞进来。那感觉像溺水。可以说话之后，我对老师说：“对不起。”有一种功课做不好的感觉。 小小的房思琪住在金碧辉煌的人生里，她的脸和她可以想象的将来一样漂亮。补习班语文名师李国华是同一栋高级住宅的邻居。崇拜文学的小房思琪同样崇拜饱读诗书的李老师。 有一天李老师说，你的程度这么好，不如每个礼拜交一篇作文给我吧，不收你周点费。思琪听话地下楼了。老师在家里等她，桌上没有纸笔。 思琪的初恋是李老师。因为李老师把...(展开全部),令人心碎却无能为力的真实故事。 向死而生的文学绝唱  打动万千读者的年度华语小说。 李银河 戴锦华 骆以军 张悦然 冯唐 詹宏志 蒋方舟 史航 等多位学者作家社会名人郑重推荐。 痛苦的际遇是如此难以分享，好险这个世界还有文学。 我下楼拿作文给李老师改。他掏出来，我被逼到涂在墙上。老师说了九个字：“不行的话，嘴巴可以吧。”我说了五个字：“不行，我不会。”他就塞进来。那感觉像溺水。可以说话之后，我对老师说：“对不起。”有一种功课做不好的感觉。 小小的房思琪住在金碧辉煌的人生里，她的脸和她可以想象的将来一样漂亮。补习班语文名师李国华是同一栋高级住宅的邻居。崇拜文学的小房思琪同样崇拜饱读诗书的李老师。 有一天李老师说，你的程度这么好，不如每个礼拜交一篇作文给我吧，不收你周点费。思琪听话地下楼了。老师在家里等她，桌上没有纸笔。 思琪的初恋是李老师。因为李老师把她翻面，把他的东西塞进去。那年的教师节思琪才十三岁，这个世界和她原本认识的不一样。                                                   如果这是爱情，为什么觉得暴力？为什么觉得被折断？为什么老师要一个女学生换过一个女学生？如果这不是爱情，那满口学问的李老师怎么能做了以后，还这么自信、无疑、无愧于心？ 故事必须重新讲过，与房思琪情同双胞的刘怡婷，接到警局通知，去带回神志不清，被判定疯了的房思琪。透过思琪的日记，怡婷得知思琪五年中的所见所思…… 嫁入钱家的许伊纹，是两位少女的忘年交，二十余岁的她，是两位少女的文学启蒙者同时也是丈夫家暴的沉默受害者……                                                                      升入大学后的郭晓奇仍旧爱着高中时的补习教师李国华，而这位文质彬彬的补习教师并不只有平时人们眼中受人尊敬的老师形象的一面…… 这是一部惊人而特别的小说，小说作者既具有高度敏锐的感受力、又是一个近距离目击者，使这整件事像一个“幸存的标本”那样地被保留下来。整本书反覆地、用极度贴近被侵害者的视角，直直逼视那种“别人夺去你某个珍贵之物”的痛苦──且掠夺之人是以此为乐。,https://book.douban.com/author/4604358/,女性 林奕含 自我保护 女性/性别 台湾文学 小说 台湾 现代文学,“这些上了讲台才发现自己权力之大，且战且走到人生的中年的男老师们，要荡乱起来是多荡乱，仿佛要一次把前半生所有空旷的夜晚都填满。”,1一部深刻，优美，准确的文学作品，超乎寻常地冷静，成熟，同时又有着才华横溢的造句和直击人心的比喻。2这一年是2017年，“性侵”这个话题几乎贯穿了一年，从林奕含，到红黄蓝，再到嘉年华。“性侵”从来都不是单独存在于某个阴暗的角落，任何关于性的暴力，都是整个社会一起完成的。性的本质不是欲望，而是权力。3人生如衣物，如此容易被剥夺。痛苦是沉默的，沉默之下，有十倍冰冷的话语支撑。然而我们对他人之痛苦是毫无...,编辑推荐语：“没有歇斯底里的嘶吼”？一本描写教师性侵犯未成年人的小说，还要嫌弃“未成年小女孩”的嘶吼是“不美观”？歇斯底里的嘶吼怎么您了？如此一个歧视和消费女性的民族，在回顾女性的被性侵被碾压被控制被自杀的时候，用的也全部是消费和歧视的视线。出版社，女孩父母，“感动”的读者们。全是食尸鬼。人血馒头味道好。,男人视角就是洛丽塔，女人视角就是房思琪的初恋乐园。这种把文学或者学识当作自己猎艳武器的老男人，很常见。也许一开始，他们不自知，偶一发现屡试不爽。记得大学一老师上课时的调侃，最大的流氓就是美学专家。可是这种显然是假的专家，正如林奕含采访视频里讲述的，李国华就是一个想学胡兰成但没有成功的缩水的赝品。,简体版终于体面问世了：「一切文学，余爱以血书者。」,3259440,1084336,1023045,4908885,25862578,3211779,4011670,10594787,4820710,6082808
1008145,围城,https://book.douban.com/subject/1008145/,https://img3.doubanio.com/view/subject/l/public/s1070222.jpg,钱钟书,人民文学出版社,,,1991-2,359,19.00,平装,9787020024759,8.9,263017,《围城》是钱钟书所著的长篇小说。第一版于1947年由上海晨光出版公司出版。1949年之后，由于政治等方面的原因，本书长期无法在中国大陆和台湾重印，仅在香港出现过盗印本。1980年由作者重新修订之后，在中国大陆地区由人民文学出版社刊印。此后作者又曾小幅修改过几次。《围城》 自从出版以来，就受到许多人的推崇。由于1949年后长期无法重印，这本书逐渐淡出人们的视野。1960年代，旅美汉学家夏志清在《中国现代小说史》(A History of Modern Chinese Fiction)中对本书作出很高的评价，这才重新引起人们对它的关注。人们对它的评价一般集中在两方面，幽默的语言和对生活深刻的观察。从1990年代开始，也有人提出对本书的不同看法，认为这是一部被“拔高”的小说，并不是一部出色的作品。很多人认为这是一部幽默作品。除了各具特色的人物语言之外，作者...(展开全部),《围城》是钱钟书所著的长篇小说。第一版于1947年由上海晨光出版公司出版。1949年之后，由于政治等方面的原因，本书长期无法在中国大陆和台湾重印，仅在香港出现过盗印本。1980年由作者重新修订之后，在中国大陆地区由人民文学出版社刊印。此后作者又曾小幅修改过几次。《围城》 自从出版以来，就受到许多人的推崇。由于1949年后长期无法重印，这本书逐渐淡出人们的视野。1960年代，旅美汉学家夏志清在《中国现代小说史》(A History of Modern Chinese Fiction)中对本书作出很高的评价，这才重新引起人们对它的关注。人们对它的评价一般集中在两方面，幽默的语言和对生活深刻的观察。从1990年代开始，也有人提出对本书的不同看法，认为这是一部被“拔高”的小说，并不是一部出色的作品。很多人认为这是一部幽默作品。除了各具特色的人物语言之外，作者夹叙其间的文字也显着机智与幽默。这是本书的一大特色。也有人认为这是作者卖弄文字，语言显得尖酸刻薄。但这一说法并不为大多数人接受。,https://book.douban.com/author/4502389/,钱钟书 围城 中国文学 小说 经典 婚姻 现代文学 文学,　我不禁想起了培根的论读书，读书不应该为了炫耀，装潢，而应该是为了丰富自身，提升自己的精神涵养吧。一个读书人骨子里的干净和纯粹，那种浑然天成的优雅气质，和无所谓的态度，却不是一个心怀杂念的人能够比得了的。知道比不了，就可以放弃比较的心，炫耀的心了。就可以把读书这件事，放得低些，再低些，低到功利心都无趣了，褪去了,读的时候快要笑死了。。。。如果出在现代绝对是腐女最爱orz,围城的含义或许是多重的，而婚姻只是被普遍接受的一种解读。,弱弱的问一句，为什么方鸿新和赵辛楣最终没有在一起？钱老先生是被神坛供起来的么？各种摆弄文字技巧？各种基情，各种调戏良家，什么时候豆瓣的青年们给出了这么高的分，ohshit。推荐指数：3星。,男人的西服、礼帽、衬衫、皮鞋。女人的旗袍、高跟鞋、草帽、丝巾。统统被夺了去，他们赤裸裸的、所有真实与不堪全摊开来。男人的怯懦，女人的刻薄。血液流动，肌肉收缩，蓝的静脉，红的动脉，白色泛黄的骨骼。这是唯唯诺诺的、自大的、逃避着的、自欺欺人的中国人。有人的地方就有政治。男男女女，也不过一场博弈。可是我们谁也离不了谁。还是冯唐坏水最多：他说希望上天安排张爱玲和钱钟书凑一对，看谁刻薄死谁！,1007305,1084336,1057244,1082154,1200840,1090043,1046265,1017143,1068920,1083428
6082808,百年孤独,https://book.douban.com/subject/6082808/,https://img3.doubanio.com/view/subject/l/public/s6384944.jpg,[哥伦比亚]加西亚·马尔克斯,南海出版公司,,,2011-6,360,39.50元,精装,9787544253994,9.2,192362,《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。作品融入神话传说、民间故事、宗教典故等神秘因素，巧妙地糅合了现实与虚幻，展现出一个瑰丽的想象世界，成为20世纪最重要的经典文学巨著之一。1982年加西亚?马尔克斯获得诺贝尔文学奖，奠定世界级文学大师的地位，很大程度上乃是凭借《百年孤独》的巨大影响。,加西亚?马尔克斯（Gabriel García Márquez）1927年出生于哥伦比亚马格达莱纳海滨小镇阿拉卡塔卡。童年与外祖父母一起生活。1936年随父母迁居苏克雷。1947年考入波哥大国立大学。1948年因内战辍学，进入报界。五十年代开始发表文学作品。六十年代初移居墨西哥。1967年出版《百年孤独》。1982年获诺贝尔文学奖。,https://book.douban.com/author/1039386/,百年孤独 加西亚·马尔克斯 经典 拉美文学 外国文学 魔幻现实主义 小说 文学,每个人都是孤独地出生，在这世间恍惚几十年并不漫长的日子转眼就远去了，然后再孤独地死去。 生命注定是个悲剧，因为我们从没有融入世界，世界永远是身外之物。如果有幸，能在茫茫人海寻得一个身体与灵魂都与自己万分契合的人，与之存在一种可以称之为爱情的联系，然后一起承受生命中不可逃离不可消除的深沉的宿命的孤独。可是这般的幸运艰深难得。有的已失去了爱的能力，有的爱的深沉却无处安放，有的死在这爱里……在所有的爱里...,回忆没有归路，春天总是一去不返。车窗外瞬间闪过世间万象，如同将一首飞逝的长诗撕成碎片向着遗忘之乡一路抛洒。,家族的第一个人被捆在树上，最后一个人正被蚂蚁吃掉。,为什么我觉得不好看呢？是不是我没文化看不懂啊！,一开始我还为华丽的辞藻，荒诞的情节，冗长的姓氏感到烦躁不堪，但随着故事的深入展开，我才发现我错了。那么繁复的一大家庭，七代人的辉煌与落寞，激情与孤独，坚毅与懒惰，世俗与超脱，疯狂与冷静，就这样蔓延开来……叫人感慨的同时不禁也要叹惜一下，孤独的何止是百年,10594787,1084336,1008145,2567698,3259440,1007305,4820710,25862578,4908885,1017143
1200840,平凡的世界（全三部）,https://book.douban.com/subject/1200840/,https://img3.doubanio.com/view/subject/l/public/s1144911.jpg,路遥,人民文学出版社,,,2005-1,1631,64.00元,平装,9787020049295,9.0,159041,《平凡的世界》是一部现实主义小说，也是一部小说形式的家族史。作者浓缩了中国西北农村的历史变迁过程，在小说中全景式地表现了中国当代城乡的社会生活。在近十年的广阔背景下，通过复杂的矛盾纠葛，刻划社会各阶层众多普通人的形象。劳动与爱情，挫折与追求，痛苦与欢乐，日常生活与巨大社会冲突，纷繁地交织在一起，深刻地展示了普通人在大时代历史进程中所走过的艰难曲折的道路。,路遥（1949年—1992年），陕西清涧人。1973年入延安大学中文系学习。1976年大学毕业后，先后在《陕西文艺》和《延河》杂志做编辑工作。1978年开始发表作品。著有长篇小说《平凡的世界》，中篇小说《惊心动魄的一幕》《人生》等。曾任陕西省作家协会副主席。,https://book.douban.com/author/4513024/,平凡的世界 路遥 中国文学 小说 人生 经典 文学 当代,文学价值真的是不咋高,应该拿诺贝尔文学奖的巨著，缺乏犀利严峻现实题材的中国，有这样的小说实在是凤毛麟角，更凸显其可贵。最难得的一点是，文笔还特别舒服。,小说写得气势磅礴。作者标榜自己是现实主义，可是个人认为，这部巨著是完美的理想主义作品。,如题，确实只是个平凡的世界,一直都看的很受教育，但是把田晓霞写死这点太狗血了，就好像这个天使一样的女子已经脱离了作者的掌控，作者一气之下杀掉了她一样。除了这点，以及对中国官员过于温和的描写，我认为可以给满分。,1008145,1082154,1085799,1082334,1007305,1057244,1084336,1029791,3259440,1141406
10594787,霍乱时期的爱情,https://book.douban.com/subject/10594787/,https://img3.doubanio.com/view/subject/l/public/s11284102.jpg,[哥伦比亚]加西亚·马尔克斯,南海出版公司,,,2012-9-1,401,39.50元,精装,9787544258975,9.0,112432,★马尔克斯唯一正式授权，首次完整翻译 ★《霍乱时期的爱情》是我最好的作品，是我发自内心的创作。——加西亚?马尔克斯 ★这部光芒闪耀、令人心碎的作品是人类有史以来最伟大的爱情小说。——《纽约时报》 《霍乱时期的爱情》是加西亚?马尔克斯获得诺贝尔文学奖之后完成的第一部小说。讲述了一段跨越半个多世纪的爱情史诗，穷尽了所有爱情的可能性：忠贞的、隐秘的、粗暴的、羞怯的、柏拉图式的、放荡的、转瞬即逝的、生死相依的……再现了时光的无情流逝，被誉为“人类有史以来最伟大的爱情小说”，是20世纪最重要的经典文学巨著之一。,加西亚?马尔克斯（Gabriel García Márquez） 1927年出生于哥伦比亚马格达莱纳海滨小镇阿拉卡塔卡。童年与外祖父母一起生活。1936年随父母迁居苏克雷。1947年考入波哥大国立大学。1948年因内战辍学，进入报界。五十年代开始出版文学作品。六十年代初移居墨西哥。1967年《百年孤独》问世。1982年获诺贝尔文学奖。1985年出版《霍乱时期的爱情》。 加西亚?马尔克斯豆瓣小站：http://site.douban.com/marquez/,https://book.douban.com/author/1039386/,霍乱时期的爱情 加西亚-马尔克斯 爱情 小说 加西亚·马尔克斯 拉美文学 外国文学 文学,我猜这本四百页的书并非是为了歌颂爱情，而是为了呈现人生，爱情是杂乱而繁茂的生命之树上温情脉脉的一缕夕阳。,相比《百年孤独》这本书更通俗，看起来也更顺畅，虽然少了那种魔幻的奇异色彩，但多了细腻和真实，同时对爱情、婚姻、性、人生、衰老等主题都有非常深刻而独特的见解。里面的很多句子类似哲学语录，非常值得多读几遍。,不同年龄段读这本书都会有不同的感触 至少现在让我恶心的是 一个七十多岁的老头诱骗一个未满14岁的少女做爱,竟然舍不得读完。但也不觉得写的是所谓的“爱情”，哪怕结尾多么大无畏和浪漫。写的其实是“孤独”，无论那女人多么“高傲”，那男人多么“卑微”，她在世俗的婚姻中以为拥有了爱情，他在浪荡滥交的生活中以为逃避了空虚，当他们白发苍苍时相拥在一起，才发现他们这一辈子恒久的寂寞的灵魂,费尔明娜像林徽因，阿里萨像金岳霖，医生像梁思成。虽然这样比喻不太好，但是同为新旧变革时期的背景很有共同点。书中的人物一个都不喜欢，但也都不讨厌，因为本来讨厌的个性却也都是无法选择的原因所造成，或许这才是真正对人对物该有的态度。爱情只是一个影子，这既是放弃的原因，也是苦苦守候五十三年十一月零七天（全是孤独的质数）的原因。,6082808,1858513,4908885,20392523,24382569,1084336,1008145,3259440,4820710,1017143
