id,tags
25862578,东野圭吾 治愈 温暖 小说 日本 日本文学 東野圭吾 推理
1770782,追风筝的人 人性 救赎 阿富汗 小说 外国文学 卡勒德·胡赛尼 成长
2567698,科幻 刘慈欣 三体 科幻小说 中国科幻 硬科幻 中国 小说
3259440,东野圭吾 東野圭吾 推理 日本 悬疑 推理小说 日本文学 小说
3211779,东野圭吾 推理 日本 推理小说 悬疑 東野圭吾 小说 日本文学
27614904,女性 林奕含 自我保护 女性/性别 台湾文学 小说 台湾 现代文学
1008145,钱钟书 围城 中国文学 小说 经典 婚姻 现代文学 文学
6082808,百年孤独 加西亚·马尔克斯 经典 拉美文学 外国文学 魔幻现实主义 小说 文学
1200840,平凡的世界 路遥 中国文学 小说 人生 经典 文学 当代
10594787,霍乱时期的爱情 加西亚-马尔克斯 爱情 小说 加西亚·马尔克斯 拉美文学 外国文学 文学
3066477,科幻 刘慈欣 三体 科幻小说 小说 黑暗森林 中国 中国科幻
1016003,鲁滨逊漂流记 外国文学 小说 笛福 经典 名著 英国 外国名著
4820710,反乌托邦 乔治·奥威尔 政治 1984 政治寓言 小说 外国文学 英国
4908885,加缪 存在主义 法国 小说 局外人 外国文学 阿尔贝·加缪 法国文学
1068920,飘 外国文学 经典 爱情 小说 外国名著 美国 名著
1141406,简爱 外国文学 经典 爱情 小说 名著 英国 外国名著
1017143,米兰・昆德拉 不能承受的生命之轻 外国文学 小说 哲学 捷克 米兰·昆德拉 文学
1040771,悬疑 达・芬奇密码 小说 推理 宗教 丹・布朗 外国文学 丹·布朗
1041007,哈利波特 J.K.罗琳 魔幻 小说 英国 外国文学 哈利・波特 哈利·波特
1361264,三毛 撒哈拉的故事 旅行 散文 随笔 文学 爱情 台湾
1057244,沈从文 边城 乡土 中国文学 小说 经典 文学 湘西
1023045,杨绛 回忆录 我们仨 钱钟书 随笔 散文 回忆 亲情
20427187,柴静 纪实 随笔 看见 中国 社会学 传记 理想国
3995526,龙应台 散文 亲情 随笔 人生 台湾 目送 生活·读书·新知三联书店
1054685,王小波 杂文 沉默的大多数 思想 随笔 中国文学 文学 中国
3369600,村上春树 随笔 跑步 日本 日本文学 生活 散文 半自传
1865089,梭罗 瓦尔登湖 外国文学 散文 纯净 随笔 美国 文学
26278687,蔡崇达 散文 随笔 成长 散文随笔 中国文学 文学 小说
2070844,三毛 梦里花落知多少 散文 这样一个神奇女子 随笔 台湾 中国文学 文学
1209899,史铁生 散文 我与地坛 人生 中国文学 随笔 文学 中国当代文学
1449352,鲁迅 散文 中国文学 朝花夕拾 经典 文学 中国 现代文学
26610864,浮生六记 随笔 沈复 古典文学 中国文学 文学 经典 
1767945,王小波 一只特立独行的猪 杂文 中国文学 思想 文学 特立独行 中国
1043815,老舍 中国文学 骆驼祥子 小说 经典 社会 名著 现代文学
1082334,穆斯林的葬礼 小说 宗教 霍达 中国文学 爱情 穆斯林 经典
1085799,陈忠实 白鹿原 小说 中国文学 茅盾文学奖 农村 文学 中国
1022060,狼图腾 小说 草原 狼 姜戎 中国文学 文化 图腾
1254588,林海音 城南旧事 童年 中国文学 小说 小时候 儿童文学 文学
1089243,王小波 黄金时代 小说 中国文学 经典 文学 当代 中国
1090043,张爱玲 倾城之恋 爱情 小说 中国文学 经典 張愛玲 文学
1046265,村上春树 挪威的森林 日本文学 小说 日本 爱情 青春 外国文学
3646172,东野圭吾 推理 日本 推理小说 東野圭吾 悬疑 小说 日本文学
2159042,村上春树 日本文学 挪威的森林 日本 小说 青春 爱情 孤独
3136271,芥川龙之介 日本文学 日本 罗生门 小说 短篇小说 人性 短篇
1080370,岩井俊二 情书 日本 爱情 日本文学 小说 日本小说 青春
4742918,村上春树 日本 小说 1Q84 日本文学 村上春樹 文学 外国文学
1059419,村上春树 海边的卡夫卡 日本文学 小说 日本 青春 外国文学 文学
3071717,王小波 爱你就像爱生命 爱情 李银河 书信集 情书 中国文学 散文
2136140,三毛 雨季不再来 散文 成长 随笔 青春 台湾 中国文学
1253310,汪曾祺 散文 随笔 人间草木 散文随笔 中国文学 文学 闲淡
1039752,村上春树 且听风吟 日本文学 小说 日本 青春 文学 外国文学
26889236,村上春树 日本 日本文学 村上春樹 自传性作品 随笔 传记 自传
1291809,村上春树 世界尽头与冷酷仙境 日本文学 小说 日本 村上春樹 文学 外国文学
1015452,村上春树 小说 日本文学 日本 国境以南 太阳以西 村上春樹 文学
